group_id,id,size
0,1923259,3
1,100951,4
2,912171,5
3,117551,2
4,1632214,7
5,1195226,1
6,127037,8
7,1975667,8
8,1388440,1
9,1529852,1
10,2054472,4
11,772368,1
12,191855,1
13,2070499,1
14,72753,1
15,1634,2
16,1515466,2
17,1822171,2
18,120617,3
19,1468523,2
20,230427,3
21,1563594,1
22,51784,4
23,600636,3
24,1320644,1
25,1561994,2
26,577530,1
27,584529,4
28,1182208,1
29,629339,1
30,1355346,1
31,1653353,4
32,1373154,3
33,1100326,2
34,382933,2
35,96728,8
36,1983168,10
37,1038241,8
38,1614952,10
39,1412361,8
40,1513500,2
41,1434060,4
42,461824,2
43,816813,1
44,1079011,1
45,408012,4
46,2019983,4
47,166128,4
48,340699,3
49,764663,3
50,1013683,1
51,1496683,2
52,1330021,2
53,1667161,3
54,1561606,1
55,1833519,5
56,350673,3
57,1080834,2
58,788374,1
59,349780,3
60,2038280,1
61,1147490,2
62,1593608,2
63,1368768,4
64,160360,4
65,1544108,10
66,1050842,10
67,1138370,10
68,800724,8
69,985063,10
70,1768688,9
71,1818636,9
72,43927,1
73,102379,5
74,1267345,4
75,423379,1
76,1635849,2
77,41825,2
78,819140,5
79,1333792,4
80,243754,2
81,280620,5
82,441755,1
83,489103,3
84,1494544,1
85,999107,1
86,450820,3
87,1454086,1
88,661547,3
89,2054539,3
90,1580741,1
91,1303823,4
92,1039362,1
93,1319731,5
94,1453012,3
95,881043,1
96,1997596,1
97,69348,1
98,1298260,3
99,1855131,5
100,837947,2
101,854332,5
102,1255054,3
103,1109124,1
104,1825529,3
105,556558,3
106,2041025,2
107,1463759,1
108,1675066,1
109,1184040,4
110,2048166,1
111,1045857,2
112,1836644,1
113,1851936,2
114,41879,1
115,1229231,4
116,788576,1
117,412275,2
118,1836250,2
119,1088488,1
120,1098136,1
121,1116730,2
122,1666067,1
123,1779939,3
124,1115434,5
125,721606,3
126,1618736,5
127,863249,3
128,1200858,1
129,1010658,1
130,1071486,4
131,1474029,1
132,1515295,2
133,2071714,4
134,1119629,2
135,680789,5
136,598015,4
137,1235058,2
138,487752,1
139,1186103,1
140,265397,3
141,1372894,1
142,2015331,7
143,1320651,1
144,1354188,2
145,440242,1
