Timestamp,id,type,gate
2015-05-02 07:06:49,20150602070649-231,6,entrance3
2015-05-02 07:23:19,20150602070649-231,6,general-gate7
2015-05-02 07:37:52,20150602070649-231,6,entrance1
2015-05-04 02:37:50,20153704023750-346,6,entrance1
2015-05-04 02:49:30,20153704023750-346,6,general-gate7
2015-05-04 02:55:49,20153704023750-346,6,general-gate4
2015-05-04 03:05:49,20153704023750-346,6,general-gate1
2015-05-04 03:08:10,20153704023750-346,6,ranger-stop2
2015-05-04 03:10:55,20153704023750-346,6,ranger-stop0
2015-05-04 03:13:47,20153704023750-346,6,general-gate2
2015-05-04 03:31:42,20153704023750-346,6,entrance2
2015-05-04 07:08:50,20150804070850-234,6,entrance0
2015-05-04 07:10:26,20150804070850-234,6,general-gate1
2015-05-04 07:13:14,20150804070850-234,6,ranger-stop2
2015-05-04 07:16:31,20150804070850-234,6,ranger-stop0
2015-05-04 07:19:57,20150804070850-234,6,general-gate2
2015-05-04 07:41:21,20150804070850-234,6,entrance2
2015-05-06 19:10:04,20151006071004-39,6,entrance3
2015-05-06 19:32:58,20151006071004-39,6,entrance0
2015-05-07 11:11:43,20151107111143-376,6,entrance0
2015-05-07 11:36:35,20151107111143-376,6,entrance3
2015-05-07 16:02:20,20150207040220-935,6,entrance1
2015-05-07 16:14:26,20150207040220-935,6,general-gate7
2015-05-07 16:21:00,20150207040220-935,6,general-gate4
2015-05-07 16:31:24,20150207040220-935,6,general-gate1
2015-05-07 16:33:51,20150207040220-935,6,ranger-stop2
2015-05-07 16:36:41,20150207040220-935,6,ranger-stop0
2015-05-07 16:39:41,20150207040220-935,6,general-gate2
2015-05-07 16:58:18,20150207040220-935,6,entrance2
2015-05-10 13:46:06,20154610014606-666,6,entrance4
2015-05-10 14:04:03,20154610014606-666,6,entrance2
2015-05-11 06:58:18,20155811065818-614,6,entrance2
2015-05-11 07:15:57,20155811065818-614,6,entrance4
2015-05-12 04:32:09,20153212043209-241,6,entrance2
2015-05-12 04:50:42,20153212043209-241,6,general-gate2
2015-05-12 04:53:41,20153212043209-241,6,ranger-stop0
2015-05-12 04:56:30,20153212043209-241,6,ranger-stop2
2015-05-12 04:58:55,20153212043209-241,6,general-gate1
2015-05-12 05:18:03,20153212043209-241,6,entrance3
2015-05-12 09:35:15,20153512093515-115,6,entrance4
2015-05-12 09:44:07,20153512093515-115,6,general-gate5
2015-05-12 09:54:19,20153512093515-115,6,general-gate2
2015-05-12 09:57:10,20153512093515-115,6,ranger-stop0
2015-05-12 09:59:52,20153512093515-115,6,ranger-stop2
2015-05-12 10:02:11,20153512093515-115,6,general-gate1
2015-05-12 10:03:34,20153512093515-115,6,entrance0
2015-05-12 22:23:55,20152312102355-589,6,entrance4
2015-05-12 22:35:02,20152312102355-589,6,general-gate5
2015-05-12 22:47:52,20152312102355-589,6,general-gate2
2015-05-12 22:51:26,20152312102355-589,6,ranger-stop0
2015-05-12 22:54:49,20152312102355-589,6,ranger-stop2
2015-05-12 22:57:45,20152312102355-589,6,general-gate1
2015-05-12 23:10:10,20152312102355-589,6,general-gate4
2015-05-12 23:17:58,20152312102355-589,6,general-gate7
2015-05-12 23:32:28,20152312102355-589,6,entrance1
