,0
0,878
1,941
2,1197
3,1217
4,1634
5,1775
6,1951
7,1980
8,2231
9,2369
10,2672
11,2679
12,2706
13,3499
14,4343
15,4828
16,6110
17,6162
18,6286
19,6534
20,6936
21,7339
22,7613
23,7639
24,8129
25,8385
26,8672
27,8764
28,9103
29,9591
30,9924
31,10371
32,11053
33,11269
34,11297
35,11311
36,11400
37,13052
38,13354
39,13357
40,13876
41,13920
42,14215
43,14290
44,14754
45,14835
46,15466
47,15712
48,15715
49,15746
50,16732
51,17425
52,17612
53,17688
54,17914
55,18121
56,18521
57,18745
58,19103
59,19162
60,19509
61,20133
62,20345
63,20448
64,20627
65,20986
66,21665
67,22713
68,25016
69,25154
70,25747
71,25792
72,26180
73,26257
74,26965
75,27015
76,27343
77,27774
78,28804
79,29539
80,30224
81,30678
82,30856
83,31954
84,31994
85,32116
86,32993
87,33030
88,33136
89,33350
90,35076
91,35393
92,36415
93,36486
94,36922
95,36938
96,37425
97,37693
98,37720
99,38221
100,38417
101,38489
102,38492
103,38622
104,40235
105,40410
106,40570
107,40624
108,40715
109,40911
110,40960
111,41141
112,41289
113,41498
114,41629
115,41879
116,42045
117,42555
118,42558
119,42721
120,42749
121,42803
122,43800
123,43833
124,43927
125,45124
126,45138
127,45157
128,45840
129,46326
130,46423
131,46690
132,46776
133,47291
134,47304
135,47327
136,47758
137,48730
138,49352
139,49375
140,49445
141,49580
142,49836
143,50181
144,50359
145,50426
146,51389
147,51523
148,51843
149,51893
150,52671
151,53558
152,53898
153,54223
154,54259
155,55307
156,55678
157,55820
158,56467
159,57581
160,57612
161,57806
162,57990
163,58228
164,58238
165,59466
166,59901
167,60359
168,60633
169,61555
170,61892
171,62001
172,63903
173,64079
174,64304
175,64694
176,65293
177,66208
178,66725
179,66808
180,67063
181,67142
182,67425
183,67437
184,67747
185,67762
186,68537
187,68697
188,69324
189,69337
190,69340
191,69348
192,69478
193,69530
194,69951
195,70408
196,71352
197,71472
198,71526
199,71940
200,72042
201,72131
202,72753
203,73058
204,73245
205,73365
206,73415
207,73832
208,74204
209,74613
210,74616
211,74766
212,74863
213,75296
214,75352
215,75415
216,75552
217,75964
218,76731
219,77124
220,77892
221,77985
222,78603
223,78960
224,80314
225,81292
226,81707
227,81921
228,82626
229,82707
230,83986
231,84178
232,84210
233,84322
234,84358
235,84599
236,84678
237,84976
238,85398
239,85540
240,85826
241,86614
242,86922
243,87021
244,87053
245,87898
246,88315
247,88388
248,89618
249,89996
250,90317
251,90727
252,91182
253,91683
254,93035
255,93171
256,93562
257,93776
258,94026
259,94067
260,94080
261,94406
262,94846
263,94906
264,95161
265,95471
266,95924
267,96203
268,96285
269,96504
270,96515
271,96972
272,97314
273,97597
274,97613
275,97824
276,98191
277,99250
278,99641
279,99649
280,99755
281,100025
282,100174
283,100461
284,100951
285,101592
286,101816
287,102362
288,102379
289,103422
290,103653
291,104006
292,104177
293,104237
294,105229
295,105331
296,105431
297,105753
298,105876
299,106322
300,106773
301,107173
302,108103
303,108423
304,108559
305,108622
306,108697
307,108757
308,108944
309,109024
310,110075
311,110626
312,110790
313,111015
314,111229
315,111510
316,111758
317,111975
318,112259
319,112316
320,112328
321,113153
322,113536
323,113712
324,114265
325,114521
326,114721
327,115010
328,115573
329,115651
330,115843
331,115904
332,116009
333,116226
334,116272
335,116446
336,116861
337,117066
338,117551
339,118601
340,118688
341,119370
342,119477
343,119750
344,119808
345,119892
346,120041
347,120407
348,120476
349,120607
350,120617
351,121066
352,121067
353,121295
354,121980
355,122656
356,122704
357,122846
358,122907
359,122981
360,123332
361,123639
362,123962
363,124052
364,124551
365,125263
366,125285
367,126101
368,126182
369,126216
370,126493
371,126739
372,127037
373,127426
374,127728
375,127968
376,128533
377,128881
378,128920
379,129051
380,129173
381,129827
382,130142
383,130373
384,130741
385,130895
386,130984
387,131599
388,131876
389,132087
390,132781
391,133205
392,133312
393,133576
394,133653
395,134210
396,134306
397,134515
398,134576
399,134794
400,135051
401,135373
402,135386
403,135664
404,135717
405,136265
406,136568
407,136693
408,137057
409,137252
410,137608
411,137622
412,139065
413,139130
414,139371
415,139881
416,141360
417,141431
418,141597
419,141708
420,141943
421,142466
422,142579
423,142693
424,142928
425,143415
426,143684
427,144043
428,144336
429,145274
430,145488
431,146240
432,146719
433,146890
434,146927
435,148486
436,148588
437,148982
438,149057
439,149356
440,149510
441,149839
442,149874
443,150855
444,150923
445,150987
446,151564
447,151917
448,152250
449,152460
450,152738
451,153470
452,153860
453,153953
454,154530
455,154595
456,155949
457,156090
458,156422
459,156751
460,157405
461,157752
462,158009
463,158275
464,158293
465,159418
466,160360
467,160792
468,160977
469,161007
470,161195
471,161411
472,161417
473,161437
474,161753
475,161781
476,162114
477,162188
478,162850
479,163330
480,163738
481,163791
482,164193
483,164466
484,164531
485,165079
486,165316
487,166128
488,166250
489,166477
490,166723
491,166855
492,166900
493,167351
494,167470
495,167523
496,167642
497,168062
498,168074
499,168448
500,168485
501,168587
502,168703
503,168789
504,168811
505,168863
506,169093
507,169442
508,169507
509,170430
510,170550
511,170586
512,171002
513,171066
514,171132
515,171160
516,171206
517,171388
518,171536
519,171760
520,171900
521,173006
522,173216
523,173232
524,173339
525,173360
526,173627
527,173724
528,173732
529,174727
530,174785
531,174974
532,175040
533,175246
534,175598
535,175741
536,175908
537,176062
538,176423
539,176566
540,176646
541,176710
542,177052
543,177160
544,177221
545,177631
546,178026
547,178059
548,178111
549,178726
550,179386
551,180277
552,180539
553,180661
554,180789
555,180883
556,181166
557,181968
558,182436
559,182577
560,182619
561,182729
562,183761
563,183920
564,184203
565,184216
566,184333
567,184573
568,185655
569,185737
570,186115
571,186352
572,186358
573,186726
574,186760
575,186808
576,187130
577,187421
578,187536
579,188246
580,188906
581,189670
582,189807
583,190615
584,190991
585,191505
586,191538
587,191700
588,191735
589,193091
590,193115
591,193473
592,193521
593,193861
594,194084
595,194806
596,195058
597,195083
598,195445
599,195712
600,196239
601,196389
602,197100
603,197158
604,197411
605,197786
606,197798
607,197811
608,198118
609,198966
610,199078
611,199491
612,199666
613,200414
614,200818
615,200828
616,200851
617,201463
618,202253
619,202494
620,202717
621,202739
622,203167
623,203184
624,203344
625,203569
626,203875
627,204057
628,204101
629,204160
630,204236
631,204640
632,205315
633,205691
634,206009
635,206987
636,207136
637,207433
638,207530
639,208719
640,208923
641,209259
642,209419
643,211109
644,211199
645,211273
646,211472
647,211494
648,211622
649,211669
650,212022
651,212191
652,212756
653,213290
654,213408
655,213448
656,213721
657,213764
658,213991
659,214139
660,215251
661,215422
662,215461
663,215558
664,215789
665,216474
666,216531
667,216900
668,217095
669,217208
670,217385
671,217701
672,218064
673,218090
674,218421
675,220592
676,221277
677,221400
678,221973
679,222807
680,223773
681,224120
682,224350
683,224471
684,224538
685,224606
686,224982
687,225889
688,226280
689,227163
690,227192
691,229011
692,229149
693,229683
694,230129
695,230313
696,230427
697,230498
698,231065
699,231643
700,231671
701,231868
702,232274
703,232309
704,232333
705,232689
706,233092
707,233174
708,233486
709,233616
710,234320
711,234387
712,234695
713,234845
714,235226
715,235720
716,235977
717,236229
718,236573
719,237551
720,237746
721,237750
722,238547
723,238673
724,238781
725,238807
726,239133
727,239172
728,239673
729,239721
730,239810
731,240120
732,240423
733,240885
734,240939
735,241193
736,241275
737,241443
738,241972
739,242021
740,242193
741,242353
742,242395
743,242631
744,242698
745,242900
746,242951
747,243764
748,244005
749,244444
750,245129
751,245517
752,245572
753,246035
754,246199
755,246860
756,246884
757,246969
758,247384
759,248169
760,248178
761,248850
762,249151
763,249267
764,250430
765,251134
766,251150
767,251617
768,252538
769,252556
770,252796
771,252841
772,253084
773,253140
774,253178
775,253489
776,253762
777,254038
778,254095
779,254180
780,254897
781,255269
782,255331
783,255455
784,255712
785,256075
786,256603
787,256649
788,257110
789,257276
790,257597
791,257896
792,258264
793,258314
794,258464
795,258503
796,258938
797,259174
798,259551
799,259974
800,260080
801,261021
802,261813
803,261886
804,262139
805,262364
806,262404
807,262820
808,264185
809,264353
810,264848
811,265258
812,265730
813,265815
814,265933
815,266162
816,266345
817,266580
818,266621
819,266949
820,268563
821,268572
822,268856
823,268968
824,269197
825,269714
826,270128
827,270294
828,270344
829,270842
830,271017
831,272033
832,272299
833,272365
834,272420
835,272624
836,272673
837,272963
838,273492
839,273501
840,273602
841,273748
842,274045
843,274315
844,274750
845,274880
846,275392
847,275872
848,277274
849,277532
850,277583
851,277883
852,278036
853,278088
854,279070
855,279576
856,279658
857,279854
858,280103
859,280439
860,280620
861,281931
862,281976
863,283252
864,284015
865,284296
866,284382
867,284434
868,285099
869,285462
870,285718
871,285969
872,286181
873,286210
874,286391
875,286864
876,286985
877,287114
878,287788
879,287831
880,287839
881,288909
882,288988
883,289181
884,289193
885,289210
886,289304
887,289513
888,290301
889,290404
890,291118
891,291269
892,291511
893,291624
894,291785
895,292339
896,292402
897,292787
898,293426
899,293466
900,293893
901,293920
902,294921
903,295158
904,295428
905,295558
906,296722
907,297330
908,297403
909,297404
910,297504
911,297564
912,297826
913,298495
914,298620
915,299151
916,299349
917,299728
918,299798
919,299987
920,300107
921,300760
922,302008
923,302440
924,302477
925,302695
926,302771
927,302897
928,302996
929,303603
930,304161
931,304586
932,304603
933,304726
934,304745
935,305083
936,305293
937,306905
938,307084
939,307824
940,308304
941,308426
942,308581
943,309261
944,309835
945,310080
946,311016
947,311417
948,311775
949,312564
950,312794
951,313742
952,313835
953,314102
954,314497
955,316194
956,316298
957,316335
958,316610
959,316746
960,316875
961,317167
962,317411
963,317830
964,317834
965,317835
966,317896
967,318235
968,318567
969,318643
970,319524
971,320089
972,320895
973,320947
974,321173
975,321247
976,321864
977,322191
978,323527
979,323893
980,324342
981,324556
982,325888
983,326279
984,326438
985,327024
986,327204
987,327664
988,327752
989,327763
990,328117
991,328274
992,328350
993,328433
994,328657
995,329408
996,330063
997,330141
998,330178
999,330183
1000,331169
1001,331284
1002,331408
1003,331659
1004,332069
1005,332770
1006,333252
1007,333343
1008,333999
1009,334793
1010,335779
1011,335895
1012,336323
1013,336328
1014,336338
1015,336419
1016,337056
1017,337181
1018,338530
1019,339019
1020,339461
1021,339638
1022,339736
1023,339880
1024,340699
1025,340936
1026,341718
1027,341755
1028,342549
1029,343437
1030,343480
1031,343755
1032,345237
1033,345353
1034,345363
1035,345382
1036,345707
1037,345853
1038,346215
1039,346310
1040,346527
1041,347424
1042,347770
1043,347780
1044,348630
1045,348714
1046,349307
1047,349344
1048,349780
1049,349875
1050,350693
1051,350758
1052,351143
1053,352086
1054,352310
1055,352434
1056,352658
1057,353069
1058,353188
1059,353226
1060,353418
1061,353561
1062,353701
1063,353773
1064,354488
1065,354785
1066,355366
1067,355786
1068,356121
1069,356487
1070,356789
1071,357125
1072,357179
1073,357245
1074,357306
1075,357801
1076,358018
1077,358884
1078,359044
1079,359163
1080,359236
1081,359592
1082,360036
1083,360228
1084,360845
1085,361239
1086,361484
1087,361919
1088,363928
1089,364713
1090,365151
1091,365191
1092,365242
1093,365259
1094,365286
1095,365343
1096,365456
1097,365639
1098,365667
1099,366288
1100,366480
1101,366903
1102,367517
1103,368123
1104,368255
1105,368330
1106,369375
1107,370786
1108,370868
1109,371361
1110,371873
1111,372230
1112,372243
1113,372469
1114,372482
1115,373112
1116,373364
1117,375148
1118,375297
1119,375728
1120,376187
1121,376667
1122,377623
1123,377926
1124,378443
1125,378875
1126,379254
1127,380279
1128,380502
1129,380513
1130,380913
1131,381150
1132,382206
1133,382365
1134,382933
1135,383012
1136,383055
1137,383251
1138,383415
1139,383458
1140,383773
1141,384823
1142,386177
1143,386182
1144,386585
1145,386611
1146,386790
1147,386827
1148,387139
1149,388355
1150,388434
1151,388559
1152,388664
1153,388680
1154,388727
1155,389537
1156,389918
1157,390696
1158,390831
1159,391086
1160,391338
1161,392160
1162,392180
1163,392647
1164,392869
1165,393107
1166,393696
1167,394459
1168,395305
1169,395338
1170,395602
1171,395694
1172,396049
1173,396118
1174,398292
1175,398386
1176,398396
1177,398504
1178,398618
1179,398767
1180,399441
1181,399477
1182,400052
1183,400555
1184,400873
1185,401037
1186,401350
1187,403432
1188,403474
1189,403548
1190,404079
1191,404087
1192,404385
1193,405002
1194,405330
1195,405378
1196,405390
1197,406542
1198,406680
1199,406800
1200,406813
1201,406891
1202,407324
1203,407458
1204,408012
1205,408230
1206,408469
1207,409211
1208,410107
1209,410149
1210,410338
1211,410439
1212,410496
1213,410505
1214,411180
1215,411231
1216,411234
1217,412000
1218,412282
1219,413484
1220,413545
1221,413719
1222,413957
1223,414135
1224,414676
1225,414954
1226,415925
1227,416647
1228,417205
1229,417570
1230,417992
1231,418150
1232,418391
1233,418576
1234,418973
1235,419001
1236,419652
1237,420195
1238,420330
1239,420345
1240,421508
1241,421589
1242,421858
1243,422069
1244,422105
1245,422300
1246,422675
1247,422678
1248,423283
1249,423379
1250,423861
1251,424481
1252,424786
1253,425037
1254,425378
1255,425748
1256,426192
1257,427006
1258,427249
1259,427264
1260,427660
1261,427814
1262,428152
1263,428418
1264,428579
1265,428879
1266,428884
1267,429138
1268,429515
1269,430144
1270,430724
1271,430753
1272,431086
1273,431101
1274,431280
1275,431551
1276,431836
1277,432035
1278,432089
1279,432283
1280,432979
1281,433010
1282,434188
1283,434275
1284,434294
1285,434962
1286,435700
1287,436515
1288,436850
1289,437077
1290,437652
1291,438261
1292,438330
1293,438404
1294,438450
1295,438619
1296,439136
1297,439328
1298,439907
1299,440242
1300,440437
1301,440632
1302,441038
1303,441197
1304,441240
1305,441755
1306,442451
1307,442891
1308,442914
1309,442925
1310,443085
1311,443367
1312,443711
1313,443721
1314,444008
1315,444736
1316,444761
1317,444820
1318,444832
1319,444898
1320,445535
1321,445691
1322,445819
1323,446479
1324,446674
1325,447903
1326,448786
1327,448949
1328,449821
1329,450348
1330,450370
1331,450819
1332,452016
1333,452524
1334,452530
1335,453105
1336,453253
1337,453840
1338,454357
1339,454363
1340,454448
1341,454462
1342,454584
1343,454685
1344,454701
1345,454864
1346,455359
1347,455752
1348,455984
1349,456278
1350,456718
1351,457576
1352,457590
1353,457620
1354,457705
1355,458709
1356,458971
1357,459390
1358,459482
1359,459917
1360,460384
1361,460630
1362,460714
1363,461118
1364,461178
1365,461584
1366,461649
1367,461824
1368,461971
1369,462275
1370,462663
1371,462736
1372,463272
1373,464613
1374,464830
1375,464866
1376,465129
1377,465562
1378,465739
1379,465853
1380,465988
1381,466868
1382,467088
1383,468233
1384,468242
1385,468827
1386,469017
1387,469296
1388,469357
1389,469815
1390,470762
1391,470906
1392,471085
1393,471413
1394,471557
1395,471766
1396,473009
1397,473365
1398,473425
1399,473436
1400,473528
1401,473656
1402,473848
1403,473898
1404,474236
1405,474279
1406,474586
1407,475415
1408,475447
1409,476635
1410,476784
1411,477168
1412,477899
1413,478052
1414,478368
1415,478470
1416,478917
1417,478984
1418,479245
1419,479895
1420,480467
1421,481352
1422,481495
1423,481736
1424,482740
1425,483053
1426,483106
1427,483264
1428,483809
1429,483896
1430,484248
1431,484294
1432,484387
1433,484561
1434,485035
1435,485069
1436,485596
1437,485704
1438,485991
1439,487431
1440,487563
1441,487752
1442,487862
1443,488095
1444,488651
1445,489103
1446,490230
1447,490354
1448,491082
1449,491409
1450,491520
1451,491616
1452,492054
1453,492127
1454,492741
1455,492765
1456,492817
1457,493093
1458,493160
1459,493894
1460,494142
1461,494243
1462,494245
1463,494252
1464,494254
1465,494878
1466,495341
1467,495670
1468,495930
1469,496101
1470,496306
1471,496679
1472,496882
1473,497376
1474,497520
1475,497553
1476,499275
1477,499898
1478,500247
1479,500451
1480,500535
1481,500985
1482,501107
1483,502192
1484,502769
1485,502950
1486,503736
1487,503822
1488,503970
1489,504194
1490,504300
1491,504450
1492,504575
1493,504779
1494,505079
1495,505182
1496,506678
1497,507059
1498,507179
1499,507257
1500,507619
1501,508400
1502,509187
1503,509358
1504,509717
1505,509878
1506,510196
1507,510274
1508,510394
1509,511389
1510,511781
1511,512023
1512,512390
