group_id,id,size
0,1102394,2
1,1187304,1
2,1449032,2
3,1343934,3
4,1767836,1
5,2059961,1
6,177221,4
7,1964353,2
8,1175281,5
9,657863,1
10,1175122,2
11,1584822,2
12,1772512,1
13,203344,3
14,1088533,1
15,122907,4
16,1561606,3
17,1735326,2
18,2065881,1
19,838026,1
20,1281274,3
21,1994315,3
22,1475524,2
23,352434,1
24,1557119,3
25,670536,2
26,962457,4
27,1140651,2
28,1685011,4
29,639148,4
30,1584703,2
31,119370,3
32,1596977,2
33,868222,2
34,1086053,2
35,1426390,2
36,517013,3
37,464866,4
38,678246,2
39,96504,1
40,704292,1
41,1118117,4
42,1458508,2
43,957036,4
44,969502,5
45,549068,1
46,382933,2
47,84210,3
48,1173915,6
49,515271,2
50,612957,4
51,1382854,4
52,2052720,2
53,387139,3
54,1440295,2
55,1346077,2
56,2019254,1
57,561890,4
58,391338,2
59,1367476,5
60,1844006,4
61,1546447,2
62,1890020,3
63,483896,4
64,1009525,2
65,455984,3
66,1427761,5
67,1225156,6
68,741636,4
69,1733175,3
70,1107067,3
71,1116730,2
72,1379201,3
73,1779939,3
74,1511028,2
75,1039362,1
76,1912164,5
77,2015749,4
78,1299176,3
79,1352405,1
80,1277112,5
81,1789940,3
82,278036,3
83,968310,3
84,2071714,4
85,566577,3
86,1431907,2
87,565854,2
88,132781,3
89,860426,3
90,1110065,8
91,1234698,10
92,366480,8
93,1181068,8
94,748578,8
95,734279,8
96,1939998,9
97,258314,3
98,1008236,1
99,1217774,2
100,1826870,1
101,121295,2
102,1925411,5
103,1594508,1
104,1690685,1
105,656123,4
106,476784,3
107,995292,3
108,1673411,3
109,664389,1
110,575148,5
111,10371,1
112,2010544,1
113,2059479,4
114,1030897,3
115,548950,2
116,1554806,1
117,1885017,1
118,272963,3
119,1030333,4
120,1116330,6
121,525828,2
122,1074970,1
123,1710455,2
124,1478594,2
125,1924339,2
126,211109,4
127,987495,1
128,1008448,8
129,104177,6
130,180883,7
131,239133,8
132,1349992,1
133,1537249,1
134,398292,1
135,511389,1
136,233092,7
137,160977,7
138,91683,7
139,1191716,7
140,841206,7
141,1436267,7
142,1958633,7
143,455359,7
144,1288670,1
145,1488170,2
146,810392,3
147,141708,2
148,1701901,3
149,562093,4
150,1186904,2
151,2083653,1
152,518180,3
153,242900,5
154,71940,3
155,961328,1
156,1505054,3
157,1346096,5
158,231643,2
159,1622630,4
160,69530,1
161,934929,1
162,1320651,1
163,1570579,2
164,1595318,1
165,233486,3
166,1237157,2
167,1520987,4
168,1948150,2
169,670320,2
170,108559,1
171,2076701,3
172,203184,2
173,1015826,3
174,1697657,2
175,603369,2
176,1755554,4
177,1624317,3
178,1072382,4
179,126739,2
180,1611902,8
181,829904,8
182,784943,8
183,186352,11
184,980953,7
185,672552,1
186,1087254,2
187,1014656,4
188,896242,4
189,2084486,4
190,1960538,4
191,105876,4
192,398396,2
193,939374,3
194,1995388,4
195,1058571,1
196,556195,3
197,1126403,3
198,557608,1
199,1004332,3
200,1966755,4
201,1180872,3
202,1613860,6
203,483053,8
204,801953,7
205,1916502,6
206,1991853,5
207,346215,6
208,618887,7
209,2025045,1
210,1170077,1
211,1934078,3
212,368123,5
213,1120636,5
214,1244645,5
215,571405,4
216,1936847,2
217,1024520,2
218,1727869,1
219,417205,1
220,692529,3
221,309261,3
222,1234761,1
223,496101,5
224,2046978,5
225,345363,2
226,1552759,6
227,1767796,2
228,1190482,4
229,1186227,3
230,1350021,1
231,1155184,3
232,771525,3
233,1856019,3
234,1860913,1
235,398504,2
236,424481,5
