id,group_id
1591741,0
825652,0
179386,1
531348,1
1483004,2
849521,2
398396,3
675561,3
2007598,4
455752,5
1881823,5
374745,5
422300,4
73216,5
1109689,5
1007202,4
1948150,6
996258,6
950113,7
612957,7
2061906,7
160360,7
880166,8
766183,8
1871836,8
879255,9
11311,9
483106,9
483896,9
539617,10
932874,11
698208,11
1229412,12
439105,13
1053224,13
580064,13
1464748,13
903769,12
1696241,13
672552,14
1772261,15
741411,15
750163,16
515271,16
1740708,17
1987765,17
84322,17
1495961,18
1313613,19
944133,19
1629394,19
494296,18
129457,18
835642,18
398504,20
668662,20
1611141,21
1451127,21
1477256,21
91182,21
1959437,21
508018,22
1762242,22
1836139,22
1593258,22
1709971,23
2096121,23
352086,24
1755750,24
892578,24
1495984,24
1999943,25
1156815,25
1640316,25
1453536,26
1428652,26
1213563,26
549068,26
117066,27
1119534,27
1220077,27
842645,27
705880,28
1085806,28
1453012,28
704292,29
1402234,29
677612,29
349848,30
1272536,30
43833,31
1620753,31
1882651,31
291511,31
943291,32
121980,32
1916572,33
1779722,33
1715723,34
41879,34
525850,34
84438,34
1591840,35
10371,35
1413244,36
1257239,36
330141,36
1382429,37
1910777,37
1491001,37
399477,37
867873,38
922651,38
1666428,38
277883,38
1739582,39
1288298,39
614566,39
945959,39
371361,40
11269,40
408012,40
1671980,40
1156155,41
1295908,41
646993,42
175741,42
1136963,42
254029,43
1107890,43
156268,43
1106999,43
1478594,44
615627,44
1229444,45
605020,45
1233488,45
877394,46
306076,46
1086857,46
705064,46
1201599,47
15712,47
413328,48
1058644,48
555649,48
173490,48
331284,49
668484,50
1185012,49
1901189,50
2065364,49
1809394,51
328117,51
1660730,51
520054,51
1035740,52
2050303,53
473425,53
1713815,52
314497,53
624964,53
1174886,52
639466,54
1088678,54
1201815,54
725019,54
1323905,55
1209830,55
868222,56
976932,56
73832,57
1596977,57
516163,58
1087254,58
1218201,59
570267,59
1680353,59
1201079,60
2066972,60
1685011,60
20448,60
726680,61
1121586,61
970012,62
494254,62
1261486,62
1903719,62
635878,61
1880065,62
1363381,63
1381070,64
711301,63
857166,63
1611783,64
544439,65
942816,65
1642758,66
1519004,66
990811,66
1205461,67
1492555,68
96972,68
1607917,67
766528,69
1784467,69
154595,70
386827,70
651835,70
137608,70
1971223,70
1322523,70
196239,71
213290,71
919935,71
973062,71
1429549,72
1197774,73
2010176,73
1138286,72
1426952,73
1629590,74
1187902,74
247384,74
1523933,74
737536,75
205315,75
187130,75
669571,75
1430968,76
1627198,77
1696753,77
386585,76
1616474,77
1326863,78
2022703,79
1456874,78
646215,80
839308,81
1991646,82
897257,82
376187,81
880807,83
767374,80
864973,80
618704,84
1813262,80
275317,80
1848529,84
968967,83
119477,84
1013602,85
1298361,80
1509021,83
1227574,85
1094296,85
1612579,83
1612584,80
1687983,82
918404,86
1255453,82
636911,82
142394,83
1639202,82
1707585,84
1533011,85
1996962,81
1744503,81
1178625,85
821837,81
1030195,85
682679,82
327024,80
1086555,85
146240,84
2094648,84
1791156,83
1075494,84
643918,86
1048798,86
1437636,83
1208151,83
1649471,87
712357,87
248178,86
1495587,81
1633558,81
793595,88
1941845,88
105151,89
193473,89
370579,90
15715,90
1943386,90
