id,gate,Timestamp
20150002080040-921,entrance3,1
20150002080040-921,entrance4,1
20150002080040-921,general-gate1,1
20150002080040-921,general-gate2,1
20150002080040-921,general-gate5,1
20150002080040-921,ranger-stop0,1
20150002080040-921,ranger-stop2,1
20150003090016-90,entrance3,1
20150003090016-90,entrance4,1
20150003090016-90,general-gate1,1
20150003090016-90,general-gate2,1
20150003090016-90,general-gate5,1
20150003090016-90,ranger-stop0,1
20150003090016-90,ranger-stop2,1
20150004030033-995,entrance2,1
20150004030033-995,entrance4,1
20150006030042-85,entrance2,1
20150006030042-85,entrance4,1
20150016110047-767,entrance3,1
20150016110047-767,entrance4,1
20150016110047-767,general-gate1,1
20150016110047-767,general-gate2,1
20150016110047-767,general-gate5,1
20150016110047-767,ranger-stop0,1
20150016110047-767,ranger-stop2,1
20150104090150-765,entrance1,1
20150104090150-765,entrance4,1
20150104090150-765,general-gate1,1
20150104090150-765,general-gate2,1
20150104090150-765,general-gate4,1
20150104090150-765,general-gate5,1
20150104090150-765,general-gate7,1
20150104090150-765,ranger-stop0,1
20150104090150-765,ranger-stop2,1
20150105020100-532,entrance0,1
20150105020100-532,entrance1,1
20150105020100-532,general-gate4,1
20150105020100-532,general-gate7,1
20150108090141-220,entrance0,1
20150108090141-220,entrance1,1
20150108090141-220,general-gate4,1
20150108090141-220,general-gate7,1
20150109120126-683,entrance1,1
20150109120126-683,entrance2,1
20150109120126-683,general-gate1,1
20150109120126-683,general-gate2,1
20150109120126-683,general-gate4,1
20150109120126-683,general-gate7,1
20150109120126-683,ranger-stop0,1
20150109120126-683,ranger-stop2,1
20150118100127-966,entrance0,1
20150118100127-966,entrance1,1
20150118100127-966,general-gate4,1
20150118100127-966,general-gate7,1
20150121070130-958,entrance3,1
20150121070130-958,entrance4,1
20150121070130-958,general-gate1,1
20150121070130-958,general-gate2,1
20150121070130-958,general-gate5,1
20150121070130-958,ranger-stop0,1
20150121070130-958,ranger-stop2,1
20150123040147-250,entrance1,1
20150123040147-250,entrance3,1
20150123040147-250,general-gate7,1
20150124030132-312,entrance0,1
20150124030132-312,entrance4,1
20150124030132-312,general-gate1,1
20150124030132-312,general-gate2,1
20150124030132-312,general-gate5,1
20150124030132-312,ranger-stop0,1
20150124030132-312,ranger-stop2,1
20150129050133-736,entrance1,1
20150129050133-736,entrance4,1
20150129050133-736,general-gate1,1
20150129050133-736,general-gate2,1
20150129050133-736,general-gate4,1
20150129050133-736,general-gate5,1
20150129050133-736,general-gate7,1
20150129050133-736,ranger-stop0,1
20150129050133-736,ranger-stop2,1
20150130010144-517,entrance1,1
20150130010144-517,entrance3,1
20150130010144-517,general-gate7,1
20150204070256-521,entrance1,1
20150204070256-521,entrance3,1
20150204070256-521,general-gate7,1
20150205120211-387,entrance0,1
20150205120211-387,entrance1,1
20150205120211-387,general-gate4,1
20150205120211-387,general-gate7,1
20150213120238-644,entrance0,1
20150213120238-644,entrance1,1
20150213120238-644,general-gate4,1
20150213120238-644,general-gate7,1
20150214060220-382,entrance2,1
20150214060220-382,entrance3,1
20150214060220-382,general-gate1,1
20150214060220-382,general-gate2,1
20150214060220-382,ranger-stop0,1
20150214060220-382,ranger-stop2,1
20150219060212-464,entrance0,1
20150219060212-464,entrance4,1
20150219060212-464,general-gate1,1
20150219060212-464,general-gate2,1
20150219060212-464,general-gate5,1
20150219060212-464,ranger-stop0,1
20150219060212-464,ranger-stop2,1
20150224010232-820,entrance0,1
20150224010232-820,entrance4,1
20150224010232-820,general-gate1,1
20150224010232-820,general-gate2,1
20150224010232-820,general-gate5,1
20150224010232-820,ranger-stop0,1
20150224010232-820,ranger-stop2,1
20150225050220-518,entrance2,1
20150225050220-518,entrance4,1
20150301010358-741,entrance1,1
20150301010358-741,entrance2,1
20150301010358-741,general-gate1,1
20150301010358-741,general-gate2,1
20150301010358-741,general-gate4,1
20150301010358-741,general-gate7,1
20150301010358-741,ranger-stop0,1
20150301010358-741,ranger-stop2,1
20150302010308-139,entrance1,1
20150302010308-139,entrance4,1
20150302010308-139,general-gate1,1
20150302010308-139,general-gate2,1
20150302010308-139,general-gate4,1
20150302010308-139,general-gate5,1
20150302010308-139,general-gate7,1
20150302010308-139,ranger-stop0,1
20150302010308-139,ranger-stop2,1
20150305070304-542,entrance0,1
20150305070304-542,entrance1,1
20150305070304-542,general-gate4,1
20150305070304-542,general-gate7,1
20150309010312-403,entrance0,1
20150309010312-403,entrance1,1
20150309010312-403,general-gate4,1
20150309010312-403,general-gate7,1
20150309050339-817,entrance0,1
20150309050339-817,entrance3,1
20150313100322-481,entrance1,1
20150313100322-481,entrance3,1
20150313100322-481,general-gate7,1
