id,gate,Timestamp
20150001050042-811,camping7,2
20150001050042-811,entrance2,1
20150001050042-811,entrance4,1
20150001050042-811,general-gate6,2
20150001070000-174,entrance1,1
20150001070000-174,entrance2,1
20150001070000-174,general-gate1,1
20150001070000-174,general-gate2,1
20150001070000-174,general-gate4,1
20150001070000-174,general-gate7,1
20150001070000-174,ranger-stop0,1
20150001070000-174,ranger-stop2,1
20150001070006-104,camping5,2
20150001070006-104,entrance1,1
20150001070006-104,entrance2,1
20150001070006-104,general-gate1,1
20150001070006-104,general-gate2,1
20150001070006-104,general-gate4,1
20150001070006-104,general-gate7,2
20150001070006-104,ranger-stop0,1
20150001070006-104,ranger-stop2,1
20150001080044-124,camping5,2
20150001080044-124,entrance0,1
20150001080044-124,entrance3,1
20150001080044-124,general-gate4,1
20150001080044-124,general-gate7,2
20150001090048-374,camping8,2
20150001090048-374,entrance3,1
20150001090048-374,entrance4,1
20150001090048-374,general-gate1,1
20150001090048-374,general-gate2,1
20150001090048-374,general-gate5,1
20150001090048-374,ranger-stop0,1
20150001090048-374,ranger-stop2,1
20150001100019-538,camping6,2
20150001100019-538,entrance0,1
20150001100019-538,entrance2,1
20150001100019-538,general-gate1,1
20150001100019-538,general-gate2,1
20150001100019-538,general-gate5,1
20150001100019-538,ranger-stop0,1
20150001100019-538,ranger-stop2,1
20150001110028-155,entrance0,1
20150001110028-155,entrance4,1
20150001110028-155,general-gate1,1
20150001110028-155,general-gate2,1
20150001110028-155,general-gate5,1
20150001110028-155,ranger-stop0,1
20150001110028-155,ranger-stop2,1
20150002080017-383,camping2,2
20150002080017-383,entrance2,1
20150002080017-383,entrance4,1
20150002080017-383,general-gate1,2
20150002080017-383,general-gate2,2
20150002080017-383,general-gate4,2
20150002080017-383,general-gate5,1
20150002080017-383,general-gate7,2
20150002080017-383,ranger-stop0,2
20150002080017-383,ranger-stop2,2
20150002120037-795,camping5,2
20150002120037-795,entrance3,1
20150002120037-795,entrance4,1
20150002120037-795,general-gate1,1
20150002120037-795,general-gate2,1
20150002120037-795,general-gate4,1
20150002120037-795,general-gate5,1
20150002120037-795,general-gate7,2
20150002120037-795,ranger-stop0,1
20150002120037-795,ranger-stop2,1
20150003040042-47,camping3,2
20150003040042-47,entrance1,1
20150003040042-47,entrance4,1
20150003040042-47,general-gate1,1
20150003040042-47,general-gate2,1
20150003040042-47,general-gate4,1
20150003040042-47,general-gate5,1
20150003040042-47,general-gate7,1
20150003040042-47,ranger-stop0,1
20150003040042-47,ranger-stop2,1
20150003060007-767,entrance1,1
20150003060007-767,entrance2,1
20150003060007-767,general-gate1,1
20150003060007-767,general-gate2,1
20150003060007-767,general-gate4,1
20150003060007-767,general-gate7,1
20150003060007-767,ranger-stop0,1
20150003060007-767,ranger-stop2,1
20150004010051-792,camping3,2
20150004010051-792,entrance2,1
