id,gate,Timestamp
20150001010009-284,camping6,2
20150001010009-284,entrance2,1
20150001010009-284,entrance3,1
20150001010009-284,general-gate1,1
20150001010009-284,general-gate2,1
20150001010009-284,general-gate5,1
20150001010009-284,ranger-stop0,1
20150001010009-284,ranger-stop2,1
20150001080008-525,camping5,2
20150001080008-525,entrance0,1
20150001080008-525,entrance3,1
20150001080008-525,general-gate4,1
20150001080008-525,general-gate7,2
20150002080057-495,entrance0,1
20150002080057-495,entrance1,1
20150002080057-495,general-gate4,1
20150002080057-495,general-gate7,1
20150003080058-668,camping0,2
20150003080058-668,entrance2,2
20150003080058-668,general-gate1,2
20150003080058-668,general-gate2,2
20150003080058-668,general-gate4,2
20150003080058-668,general-gate7,2
20150003080058-668,ranger-stop0,2
20150003080058-668,ranger-stop2,2
20150003090030-424,camping4,2
20150003090030-424,entrance0,1
20150003090030-424,entrance3,1
20150003090030-424,general-gate4,1
20150003090030-424,general-gate7,2
20150004010027-232,entrance1,1
20150004010027-232,entrance3,1
20150004010027-232,general-gate7,1
20150004050011-484,entrance1,1
20150004050011-484,entrance4,1
20150004050011-484,general-gate1,1
20150004050011-484,general-gate2,1
20150004050011-484,general-gate4,1
20150004050011-484,general-gate5,1
20150004050011-484,general-gate7,1
20150004050011-484,ranger-stop0,1
20150004050011-484,ranger-stop2,1
20150005110029-714,camping8,2
20150005110029-714,entrance3,2
20150005110029-714,general-gate1,2
20150005110029-714,general-gate2,2
20150005110029-714,ranger-stop0,2
20150005110029-714,ranger-stop2,2
20150006080007-531,camping7,2
20150006080007-531,entrance2,2
20150006080007-531,general-gate6,2
20150007040010-264,camping6,2
20150007040010-264,entrance0,1
20150007040010-264,entrance3,1
20150007040010-264,general-gate1,2
20150007040010-264,general-gate2,2
20150007040010-264,general-gate5,2
20150007040010-264,ranger-stop0,2
20150007040010-264,ranger-stop2,2
20150008010023-545,camping2,2
20150008010023-545,entrance0,1
20150008010023-545,entrance2,1
20150008010023-545,general-gate1,1
20150008010023-545,general-gate2,1
20150008010023-545,general-gate4,2
20150008010023-545,general-gate7,2
20150008010023-545,ranger-stop0,1
20150008010023-545,ranger-stop2,1
20150009030033-322,entrance1,1
20150009030033-322,entrance2,1
20150009030033-322,general-gate1,1
20150009030033-322,general-gate2,1
20150009030033-322,general-gate4,1
20150009030033-322,general-gate7,1
20150009030033-322,ranger-stop0,1
20150009030033-322,ranger-stop2,1
20150011060014-975,entrance0,1
20150011060014-975,entrance3,1
20150011070002-311,camping0,2
20150011070002-311,entrance2,1
20150011070002-311,entrance3,1
20150011070002-311,general-gate1,1
20150011070002-311,general-gate2,1
20150011070002-311,general-gate4,1
20150011070002-311,general-gate7,2
20150011070002-311,ranger-stop0,1
20150011070002-311,ranger-stop2,1
20150013060021-372,entrance0,1
20150013060021-372,entrance2,1
20150013060021-372,general-gate1,1
20150013060021-372,general-gate2,1
20150013060021-372,ranger-stop0,1
20150013060021-372,ranger-stop2,1
20150014030033-497,camping7,2
20150014030033-497,entrance1,1
20150014030033-497,entrance3,1
20150014030033-497,general-gate1,2
20150014030033-497,general-gate2,2
20150014030033-497,general-gate4,1
20150014030033-497,general-gate5,2
20150014030033-497,general-gate6,2
20150014030033-497,general-gate7,1
20150014030033-497,ranger-stop0,2
20150014030033-497,ranger-stop2,2
20150016010039-314,camping2,2
20150016010039-314,entrance2,2
