Timestamp,id,type,gate
2015-05-01 03:01:46,20150101030146-497,3,entrance4
2015-05-01 03:21:55,20150101030146-497,3,entrance2
2015-05-01 05:49:32,20154901054932-304,3,entrance1
2015-05-01 05:55:05,20154901054932-304,3,camping2
2015-05-01 05:55:10,20154901054932-304,3,camping2
2015-05-01 06:12:13,20154901054932-304,3,general-gate7
2015-05-01 06:26:25,20154901054932-304,3,entrance3
2015-05-01 07:36:50,20153601073650-751,3,entrance2
2015-05-01 07:55:33,20153601073650-751,3,general-gate2
2015-05-01 07:58:35,20153601073650-751,3,ranger-stop0
2015-05-01 08:01:26,20153601073650-751,3,ranger-stop2
2015-05-01 08:03:53,20153601073650-751,3,general-gate1
2015-05-01 08:14:24,20153601073650-751,3,general-gate4
2015-05-01 08:21:01,20153601073650-751,3,general-gate7
2015-05-01 08:27:31,20152701082731-176,3,entrance2
2015-05-01 08:37:49,20153601073650-751,3,camping2
2015-05-01 08:49:55,20152701082731-176,3,entrance4
2015-05-01 10:36:32,20153601103632-930,3,entrance2
2015-05-01 10:44:16,20154401104416-538,3,entrance4
2015-05-01 10:53:36,20154401104416-538,3,general-gate5
2015-05-01 10:56:23,20153601103632-930,3,general-gate2
2015-05-01 10:59:36,20153601103632-930,3,ranger-stop0
2015-05-01 11:02:37,20153601103632-930,3,ranger-stop2
2015-05-01 11:04:23,20154401104416-538,3,general-gate2
2015-05-01 11:05:14,20153601103632-930,3,general-gate1
2015-05-01 11:06:46,20153601103632-930,3,entrance0
2015-05-01 11:07:22,20154401104416-538,3,ranger-stop0
2015-05-01 11:10:12,20154401104416-538,3,ranger-stop2
2015-05-01 11:12:39,20154401104416-538,3,general-gate1
2015-05-01 11:23:06,20154401104416-538,3,general-gate4
2015-05-01 11:29:40,20154401104416-538,3,general-gate7
2015-05-01 11:46:21,20154401104416-538,3,camping2
2015-05-01 16:40:56,20154001044056-714,3,entrance2
2015-05-01 17:00:29,20154001044056-714,3,general-gate2
2015-05-01 17:03:38,20154001044056-714,3,ranger-stop0
2015-05-01 17:06:36,20154001044056-714,3,ranger-stop2
2015-05-01 17:09:10,20154001044056-714,3,general-gate1
2015-05-01 17:20:08,20154001044056-714,3,general-gate4
2015-05-01 17:27:02,20154001044056-714,3,general-gate7
2015-05-01 17:44:56,20154001044056-714,3,camping0
2015-05-02 02:55:44,20155502025544-979,3,entrance2
2015-05-02 03:16:05,20155502025544-979,3,general-gate2
2015-05-02 03:19:22,20155502025544-979,3,ranger-stop0
2015-05-02 03:22:28,20155502025544-979,3,ranger-stop2
2015-05-02 03:25:09,20155502025544-979,3,general-gate1
2015-05-02 03:36:36,20155502025544-979,3,general-gate4
2015-05-02 03:43:47,20155502025544-979,3,general-gate7
2015-05-02 03:57:07,20155502025544-979,3,entrance1
2015-05-02 05:28:06,20152802052806-928,3,entrance4
2015-05-02 05:37:43,20152802052806-928,3,general-gate5
2015-05-02 05:48:52,20152802052806-928,3,general-gate2
2015-05-02 05:51:58,20152802052806-928,3,ranger-stop0
2015-05-02 05:54:54,20152802052806-928,3,ranger-stop2
2015-05-02 05:57:25,20152802052806-928,3,general-gate1
2015-05-02 06:08:12,20152802052806-928,3,general-gate4
2015-05-02 06:15:01,20152802052806-928,3,general-gate7
2015-05-02 06:28:14,20152802052806-928,3,camping3
2015-05-02 06:28:22,20152802052806-928,3,camping3
2015-05-02 06:34:42,20154401104416-538,3,camping2
2015-05-02 06:41:29,20152802052806-928,3,general-gate7
2015-05-02 06:51:18,20154401104416-538,3,general-gate7
2015-05-02 06:55:49,20152802052806-928,3,entrance3
2015-05-02 06:57:52,20154401104416-538,3,general-gate4
2015-05-02 07:09:35,20154401104416-538,3,entrance0
2015-05-02 08:43:10,20154302084310-559,3,entrance3
2015-05-02 09:02:41,20154302084310-559,3,general-gate1
2015-05-02 09:05:11,20154302084310-559,3,ranger-stop2
2015-05-02 09:05:41,20150502090541-904,3,entrance1
2015-05-02 09:08:04,20154302084310-559,3,ranger-stop0
2015-05-02 09:11:07,20154302084310-559,3,general-gate2
2015-05-02 09:17:16,20150502090541-904,3,general-gate7
2015-05-02 09:22:07,20154302084310-559,3,general-gate5
2015-05-02 09:23:32,20150502090541-904,3,general-gate4
2015-05-02 09:31:40,20154302084310-559,3,entrance4
2015-05-02 09:34:43,20150502090541-904,3,entrance0
2015-05-02 11:19:13,20151902111913-640,3,entrance3
2015-05-02 11:40:16,20151902111913-640,3,general-gate1
2015-05-02 11:42:58,20151902111913-640,3,ranger-stop2
2015-05-02 11:46:05,20151902111913-640,3,ranger-stop0
2015-05-02 11:49:22,20151902111913-640,3,general-gate2
2015-05-02 12:09:44,20151902111913-640,3,camping8
2015-05-02 13:26:39,20152602012639-340,3,entrance0
2015-05-02 13:30:28,20153002013028-298,3,entrance0
2015-05-02 13:40:49,20152602012639-340,3,general-gate4
2015-05-02 13:41:53,20153002013028-298,3,general-gate4
2015-05-02 13:48:18,20153002013028-298,3,general-gate7
2015-05-02 13:48:46,20152602012639-340,3,general-gate7
2015-05-02 13:57:14,20153002013028-298,3,camping4
2015-05-02 14:09:27,20152602012639-340,3,camping0
2015-05-02 16:20:15,20152002042015-193,3,entrance4
2015-05-02 16:30:14,20152002042015-193,3,general-gate5
2015-05-02 16:43:16,20152002042015-193,3,camping8
2015-05-02 16:48:25,20154802044825-624,3,entrance3
2015-05-02 17:06:47,20154802044825-624,3,general-gate1
2015-05-02 17:09:08,20154802044825-624,3,ranger-stop2
2015-05-02 17:11:53,20154802044825-624,3,ranger-stop0
2015-05-02 17:14:45,20154802044825-624,3,general-gate2
2015-05-02 17:25:05,20154802044825-624,3,general-gate5
2015-05-02 17:34:19,20154802044825-624,3,camping6
2015-05-02 17:34:25,20154802044825-624,3,camping6
2015-05-02 17:43:35,20154802044825-624,3,general-gate5
2015-05-02 17:53:55,20154802044825-624,3,general-gate2
2015-05-02 17:56:48,20154802044825-624,3,ranger-stop0
2015-05-02 17:59:33,20154802044825-624,3,ranger-stop2
2015-05-02 18:01:53,20154802044825-624,3,general-gate1
