,station
0,5
1,0
2,0
3,0
4,0
5,72
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,73
18,0
19,0
20,5
21,0
22,0
23,0
24,0
25,39
26,0
27,75
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,72
37,0
38,0
39,0
40,0
41,0
42,5
43,0
44,0
45,82
46,0
47,0
48,0
49,0
50,7
51,0
52,0
53,10
54,78
55,0
56,35
57,0
58,0
59,0
60,0
61,82
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,7
71,0
72,0
73,0
74,0
75,84
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,5
88,0
89,0
90,0
91,0
92,0
93,0
94,39
95,0
96,99
97,0
98,9
99,0
100,0
101,0
102,75
103,0
