station,user,start
10,674680753,49
100,766517372,24
1003,674613696,83
1003,766839662,73
1003,796632114,12
1003,796651486,91
1010,475855575,2
1010,525851507,38
1010,613636641,290
1010,644580948,379
1010,654683711,269
1010,654687300,295
1010,654687650,1362
1010,684502861,14
1010,703603917,1
1010,703607790,15
1010,703609373,1831
1010,703612241,82
1010,703616769,186
1010,703622274,50
1010,703626449,194
1010,703633824,9
1010,736976143,182
1010,766806798,59
1010,766828712,65
1010,766830396,2
1010,766981693,400
1010,789692446,207
1010,796079295,30
1010,796670465,48
1014,654553289,21
1018,796081405,15
1022,654551697,4
1022,796637805,774
1022,796669200,12
1022,796779523,1
1023,644506850,299
1023,674694645,24
1023,763734201,359
1023,764675828,23
1023,766929096,753
1023,768234222,227
1023,795466732,5
1023,796156418,15
1023,796156979,5
1023,796730637,37
1023,796756418,97
1027,694657114,157
1027,796840467,61
1031,503672264,41
1031,644586379,600
1031,703658046,319
10001,796041462,58
10006,567956678,59
10006,597680594,15
10006,603621479,23
10006,603629703,169
10006,625366844,114
10006,654597347,90
10006,684033982,1
10010,504842664,30
10010,694613708,22
10010,796097546,5
10014,654606489,108
10014,796142988,55
10014,796204137,62
10022,503659868,119
10022,504516827,68
10022,504811674,68
10022,504815119,10
10022,633678671,48
10022,633679029,37
10022,644568077,42
10022,703668996,14
10022,763407429,11
10022,796227799,21
10022,796766863,18
10027,434532256,156
10027,684624117,4
10027,766857509,28
10027,766860871,10
10027,766869692,42
10027,766883348,93
10027,796199999,24
10027,796612647,1731
10038,624879033,1
10038,674193023,108
10038,796087865,2
10038,796088507,15
10038,796094633,3
10043,432009014,206
10043,603640888,24
10043,604506237,3037
10043,624606573,2
10043,633634895,17
10043,684629394,4
10043,766824715,270
10043,796608549,38
10043,796653534,4
10047,604814864,7
10047,694516668,42
10047,796714007,8
10050,503652471,63
10050,504518488,2105
10050,654640974,3
10050,796201090,14
10050,796224215,1
10050,796799030,62
10050,796802366,178
10054,665056925,22
10063,624514500,1
10063,654521924,4
10063,766854261,256
10063,796067512,34
10063,796621456,335
10063,796668300,16
10065,674656444,1
10065,674658950,62
10065,763428611,83
10069,633678122,38
10071,414425458,9
10071,754543044,466
10071,796519639,80
10071,796610495,1
10071,796630055,195
10071,796658945,1646
10072,503632097,111
10072,504544509,11
10072,512684797,9
10072,596916298,42
10072,604583424,4
10072,630583772,27
10072,704507167,4
10072,796037270,21
10072,796140188,16
10077,503652614,1
10077,654503977,194
10097,603604016,3
10097,694560576,78
10102,514653691,7
10104,568863010,37
10104,684631986,402
10105,524859667,3
10105,654568765,16
10105,796008088,8
10109,654640500,167
10109,766984238,97
10109,796148537,335
10112,555327889,18
10112,633626744,2
10112,644503823,15
10112,654603310,10
10112,654660412,11
10112,674627588,13
10112,704513516,380
10112,774488888,37
10112,796605310,3
10112,796640108,221
10112,796829879,30
10113,503609580,4
10113,654514587,37
10113,684617835,41
10113,763445638,24
10113,766986574,146
